swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
1,0.006200,2.7970091045e-8,0.1461069133,0.006200,221711000000000,221711000000000,221711000000000
2,0.006200,2.7981650822e-8,0.1461692018,0.012400,443330000000000,221619000000000,221619000000000
3,0.006200,2.7993212986e-8,0.1462314903,0.018600,664858000000000,221528000000000,221528000000000
4,0.006200,2.8004777539e-8,0.1462937788,0.024800,886295000000000,221437000000000,221437000000000
5,0.006200,2.8016344480e-8,0.1463560673,0.031000,1107640000000000,221345000000000,221345000000000
6,0.006200,2.8027913810e-8,0.1464183558,0.037200,1328894000000000,221254000000000,221254000000000
7,0.006200,2.8039485527e-8,0.1464806443,0.043400,1550056000000000,221162000000000,221162000000000
8,0.006200,2.8051059633e-8,0.1465429328,0.049600,1771127000000000,221071000000000,221071000000000
9,0.006200,2.8062636128e-8,0.1466052213,0.055800,1992107000000000,220980000000000,220980000000000
10,0.006200,2.8074215010e-8,0.1466675098,0.062000,2212996000000000,220889000000000,220889000000000
11,0.006200,2.8085796281e-8,0.1467297984,0.068200,2433793000000000,220797000000000,220797000000000
12,0.006200,2.8097379940e-8,0.1467920869,0.074400,2654500000000000,220707000000000,220707000000000
13,0.006200,2.8108965988e-8,0.1468543754,0.080600,2875116000000000,220616000000000,220616000000000
14,0.006200,2.8120554423e-8,0.1469166639,0.086800,3095641000000000,220525000000000,220525000000000
15,0.006200,2.8132145247e-8,0.1469789524,0.093000,3316074000000000,220433000000000,220433000000000
16,0.006200,2.8143738460e-8,0.1470412409,0.099200,3536417000000000,220343000000000,220343000000000
17,0.006200,2.8155334060e-8,0.1471035294,0.105400,3756670000000000,220253000000000,220253000000000
18,0.006200,2.8166932049e-8,0.1471658179,0.111600,3976831000000000,220161000000000,220161000000000
19,0.006200,2.8178532426e-8,0.1472281064,0.117800,4196902000000000,220071000000000,220071000000000
20,0.006200,2.8190135191e-8,0.1472903949,0.124000,4416883000000000,219981000000000,219981000000000
21,0.006200,2.8201740345e-8,0.1473526835,0.130200,4636772000000000,219889000000000,219889000000000
22,0.006200,2.8213347887e-8,0.1474149720,0.136400,4856572000000000,219800000000000,219800000000000
23,0.006200,2.8224957817e-8,0.1474772605,0.142600,5076281000000000,219709000000000,219709000000000
24,0.006200,2.8236570136e-8,0.1475395490,0.148800,5295899000000000,219618000000000,219618000000000
25,0.006200,2.8248184842e-8,0.1476018375,0.155000,5515428000000000,219529000000000,219529000000000
26,0.006200,2.8259801938e-8,0.1476641260,0.161200,5734866000000000,219438000000000,219438000000000
27,0.006200,2.8271421421e-8,0.1477264145,0.167400,5954213000000000,219347000000000,219347000000000
28,0.006200,2.8283043292e-8,0.1477887030,0.173600,6173471000000000,219258000000000,219258000000000
29,0.006200,2.8294667552e-8,0.1478509915,0.179800,6392639000000000,219168000000000,219168000000000
30,0.006200,2.8306294201e-8,0.1479132800,0.186000,6611716000000000,219077000000000,219077000000000
31,0.006200,2.8317923237e-8,0.1479755685,0.192200,6830704000000000,218988000000000,218988000000000
32,0.006200,2.8329554662e-8,0.1480378571,0.198400,7049602000000000,218898000000000,218898000000000
33,0.006200,2.8341188475e-8,0.1481001456,0.204600,7268409000000000,218807000000000,218807000000000
34,0.006200,2.8352824676e-8,0.1481624341,0.210800,7487127000000000,218718000000000,218718000000000
35,0.006200,2.8364463266e-8,0.1482247226,0.217000,7705756000000000,218629000000000,218629000000000
36,0.006200,2.8376104243e-8,0.1482870111,0.223200,7924294000000000,218538000000000,218538000000000
37,0.006200,2.8387747610e-8,0.1483492996,0.229400,8142743000000000,218449000000000,218449000000000
38,0.006200,2.8399393364e-8,0.1484115881,0.235600,8361102000000000,218359000000000,218359000000000
39,0.006200,2.8411041507e-8,0.1484738766,0.241800,8579372000000000,218270000000000,218270000000000
40,0.006200,2.8422692038e-8,0.1485361651,0.248000,8797552000000000,218180000000000,218180000000000
41,0.006200,2.8434344957e-8,0.1485984536,0.254200,9015643000000000,218091000000000,218091000000000
42,0.006200,2.8446000264e-8,0.1486607422,0.260400,9233645000000000,218002000000000,218002000000000
43,0.006200,2.8457657960e-8,0.1487230307,0.266600,9451557000000000,217912000000000,217912000000000
44,0.006200,2.8469318044e-8,0.1487853192,0.272800,9669380000000000,217823000000000,217823000000000
45,0.006200,2.8480980517e-8,0.1488476077,0.279000,9887113000000000,217733000000000,217733000000000
46,0.006200,2.8492645377e-8,0.1489098962,0.285200,10104758000000000,217645000000000,217645000000000
47,0.006200,2.8504312626e-8,0.1489721847,0.291400,10322314000000000,217556000000000,217556000000000
48,0.006200,2.8515982264e-8,0.1490344732,0.297600,10539780000000000,217466000000000,217466000000000
49,0.006200,2.8527654289e-8,0.1490967617,0.303800,10757157000000000,217377000000000,217377000000000
50,0.006200,2.8539328703e-8,0.1491590502,0.310000,10974446000000000,217289000000000,217289000000000
51,0.006200,2.8551005505e-8,0.1492213387,0.316200,11191646000000000,217200000000000,217200000000000
52,0.006200,2.8562684695e-8,0.1492836273,0.322400,11408756000000000,217110000000000,217110000000000
53,0.006200,2.8574366274e-8,0.1493459158,0.328600,11625778000000000,217022000000000,217022000000000
54,0.006200,2.8586050241e-8,0.1494082043,0.334800,11842712000000000,216934000000000,216934000000000
55,0.006200,2.8597736596e-8,0.1494704928,0.341000,12059556000000000,216844000000000,216844000000000
56,0.006200,2.8609425339e-8,0.1495327813,0.347200,12276313000000000,216757000000000,216757000000000
57,0.006200,2.8621116471e-8,0.1495950698,0.353400,12492980000000000,216667000000000,216667000000000
58,0.006200,2.8632809991e-8,0.1496573583,0.359600,12709559000000000,216579000000000,216579000000000
59,0.006200,2.8644505899e-8,0.1497196468,0.365800,12926050000000000,216491000000000,216491000000000
60,0.006200,2.8656204196e-8,0.1497819353,0.372000,13142452000000000,216402000000000,216402000000000
61,0.006200,2.8667904881e-8,0.1498442238,0.378200,13358766000000000,216314000000000,216314000000000
62,0.006200,2.8679607954e-8,0.1499065123,0.384400,13574991000000000,216225000000000,216225000000000
63,0.006200,2.8691313415e-8,0.1499688009,0.390600,13791129000000000,216138000000000,216138000000000
64,0.006200,2.8703021265e-8,0.1500310894,0.396800,14007178000000000,216049000000000,216049000000000
65,0.006200,2.8714731503e-8,0.1500933779,0.403000,14223139000000000,215961000000000,215961000000000
66,0.006200,2.8726444129e-8,0.1501556664,0.409200,14439012000000000,215873000000000,215873000000000
